age,gender,income,education_years,experience_years,region,credit_score,debt_ratio,num_accounts,previous_defaults,approved
56,male,33615,16,37,east,409,0.458,6,0,1
69,male,45253,20,1,east,739,0.259,2,0,1
46,male,68196,16,35,east,577,0.879,14,0,1
32,male,52125,19,25,east,781,0.197,1,1,1
60,male,84789,13,10,west,413,0.947,1,0,1
25,male,55899,13,7,north,776,0.206,9,0,1
38,male,52880,12,39,north,620,0.614,4,0,1
56,male,45363,16,21,east,478,0.223,5,0,1
36,male,52003,17,19,west,518,0.546,3,0,1
40,female,47712,15,7,south,827,0.684,4,0,1
28,male,60621,14,28,south,791,0.19,12,1,1
28,female,64350,14,39,west,360,0.521,8,0,1
41,female,38210,13,25,east,353,0.469,13,0,1
53,male,30031,12,29,north,837,0.071,4,0,1
57,male,22456,20,16,west,364,0.818,9,0,1
41,male,57619,11,19,south,470,0.336,9,0,1
20,male,33449,10,15,south,572,0.575,6,0,0
39,female,17706,10,6,south,834,0.515,2,0,0
19,male,55828,13,15,east,690,0.513,12,1,0
41,male,87394,11,26,south,626,0.107,10,0,1
61,male,49908,19,22,west,407,0.423,11,1,0
47,male,62577,19,23,west,461,0.452,7,0,1
55,female,51227,13,8,south,751,0.734,9,0,0
19,male,48516,10,34,west,505,0.84,6,0,1
38,male,63786,11,19,south,315,0.545,3,0,1
50,female,45645,16,36,south,626,0.087,14,1,0
29,female,54010,12,16,north,301,0.237,7,0,1
39,male,54825,20,30,east,309,0.165,5,0,1
61,male,39978,14,7,east,733,0.125,1,0,1
42,male,64880,17,14,north,424,0.366,3,0,1
66,male,47375,9,30,north,380,0.229,5,1,0
44,male,38663,21,29,east,784,0.218,7,0,1
59,male,58047,21,19,south,449,0.055,3,0,1
45,male,36522,12,38,south,639,0.018,6,0,1
33,male,50422,16,11,east,428,0.103,5,1,0
32,female,49863,18,16,south,737,0.172,13,0,1
64,male,66288,10,29,north,800,0.431,1,0,1
68,male,57120,21,28,south,357,0.511,10,0,1
61,male,49624,16,18,south,497,0.141,6,0,1
69,female,62266,21,10,west,510,0.425,14,0,1
20,male,70853,18,33,west,344,0.342,8,0,1
54,male,58367,13,6,west,396,0.183,13,0,1
68,female,50155,11,33,south,578,0.007,13,0,1
24,female,30322,14,19,east,834,0.467,1,0,1
38,female,34023,15,37,north,709,0.686,2,0,0
26,male,45421,13,23,south,760,0.226,14,0,1
56,male,40857,12,9,east,690,0.132,4,1,0
35,female,47195,13,31,south,343,0.887,12,1,0
21,female,50849,12,14,north,326,0.275,2,0,0
42,male,57945,15,36,south,396,0.224,11,0,1
31,male,48942,8,19,north,847,0.857,9,0,1
67,male,57297,18,2,south,518,0.817,10,0,1
26,female,50967,14,36,north,484,0.448,8,0,1
43,male,20368,17,39,south,368,0.489,8,0,1
19,male,35909,17,7,north,429,0.218,4,0,1
37,male,47838,18,39,west,633,0.078,5,1,0
45,male,31854,9,22,south,453,0.573,4,0,1
64,male,58998,21,39,south,846,0.098,13,0,1
24,male,72961,16,10,east,378,0.449,9,0,1
61,female,68281,8,7,east,712,0.94,13,0,1
25,male,46798,18,28,north,845,0.953,2,0,1
64,male,72360,17,29,south,468,0.239,13,0,1
52,male,52230,13,9,north,814,0.624,11,0,1
31,male,44943,16,38,west,613,0.474,8,0,1
34,male,40798,8,27,east,331,0.876,2,1,0
53,male,45462,11,35,north,586,0.271,1,0,1
67,male,44177,11,12,north,342,0.004,10,0,1
57,male,52556,16,31,east,300,0.163,3,0,1
21,male,52408,18,35,south,569,0.35,9,0,1
19,female,50045,12,36,north,479,0.316,12,0,0
23,male,56554,12,25,east,817,0.791,3,0,1
59,female,67859,13,21,south,402,0.681,9,1,1
21,male,64243,8,3,west,309,0.3,7,1,0
46,female,27726,8,30,east,389,0.458,13,0,1
35,female,11691,16,17,north,525,0.096,10,1,0
