age,income,education_years,experience_years,credit_score,debt_ratio,num_accounts,previous_defaults,approved,gender_male,region_north,region_south,region_west
56,33615,16,37,409,0.458,6,0,1,True,False,False,False
69,45253,20,1,739,0.259,2,0,1,True,False,False,False
46,68196,16,35,577,0.879,14,0,1,True,False,False,False
32,52125,19,25,781,0.197,1,1,1,True,False,False,False
60,84789,13,10,413,0.947,1,0,1,True,False,False,True
25,55899,13,7,776,0.206,9,0,1,True,True,False,False
38,52880,12,39,620,0.614,4,0,1,True,True,False,False
56,45363,16,21,478,0.223,5,0,1,True,False,False,False
36,52003,17,19,518,0.546,3,0,1,True,False,False,True
40,47712,15,7,827,0.684,4,0,1,False,False,True,False
28,60621,14,28,791,0.19,12,1,1,True,False,True,False
28,64350,14,39,360,0.521,8,0,1,False,False,False,True
41,38210,13,25,353,0.469,13,0,1,False,False,False,False
53,30031,12,29,837,0.071,4,0,1,True,True,False,False
57,22456,20,16,364,0.818,9,0,1,True,False,False,True
41,57619,11,19,470,0.336,9,0,1,True,False,True,False
20,33449,10,15,572,0.575,6,0,0,True,False,True,False
39,17706,10,6,834,0.515,2,0,0,False,False,True,False
19,55828,13,15,690,0.513,12,1,0,True,False,False,False
41,87394,11,26,626,0.107,10,0,1,True,False,True,False
61,49908,19,22,407,0.423,11,1,0,True,False,False,True
47,62577,19,23,461,0.452,7,0,1,True,False,False,True
55,51227,13,8,751,0.734,9,0,0,False,False,True,False
19,48516,10,34,505,0.84,6,0,1,True,False,False,True
38,63786,11,19,315,0.545,3,0,1,True,False,True,False
50,45645,16,36,626,0.087,14,1,0,False,False,True,False
29,54010,12,16,301,0.237,7,0,1,False,True,False,False
39,54825,20,30,309,0.165,5,0,1,True,False,False,False
61,39978,14,7,733,0.125,1,0,1,True,False,False,False
42,64880,17,14,424,0.366,3,0,1,True,True,False,False
66,47375,9,30,380,0.229,5,1,0,True,True,False,False
44,38663,21,29,784,0.218,7,0,1,True,False,False,False
59,58047,21,19,449,0.055,3,0,1,True,False,True,False
45,36522,12,38,639,0.018,6,0,1,True,False,True,False
33,50422,16,11,428,0.103,5,1,0,True,False,False,False
32,49863,18,16,737,0.172,13,0,1,False,False,True,False
64,66288,10,29,800,0.431,1,0,1,True,True,False,False
68,57120,21,28,357,0.511,10,0,1,True,False,True,False
61,49624,16,18,497,0.141,6,0,1,True,False,True,False
69,62266,21,10,510,0.425,14,0,1,False,False,False,True
20,70853,18,33,344,0.342,8,0,1,True,False,False,True
54,58367,13,6,396,0.183,13,0,1,True,False,False,True
68,50155,11,33,578,0.007,13,0,1,False,False,True,False
24,30322,14,19,834,0.467,1,0,1,False,False,False,False
38,34023,15,37,709,0.686,2,0,0,False,True,False,False
26,45421,13,23,760,0.226,14,0,1,True,False,True,False
56,40857,12,9,690,0.132,4,1,0,True,False,False,False
35,47195,13,31,343,0.887,12,1,0,False,False,True,False
21,50849,12,14,326,0.275,2,0,0,False,True,False,False
42,57945,15,36,396,0.224,11,0,1,True,False,True,False
31,48942,8,19,847,0.857,9,0,1,True,True,False,False
67,57297,18,2,518,0.817,10,0,1,True,False,True,False
26,50967,14,36,484,0.448,8,0,1,False,True,False,False
43,20368,17,39,368,0.489,8,0,1,True,False,True,False
19,35909,17,7,429,0.218,4,0,1,True,True,False,False
37,47838,18,39,633,0.078,5,1,0,True,False,False,True
45,31854,9,22,453,0.573,4,0,1,True,False,True,False
64,58998,21,39,846,0.098,13,0,1,True,False,True,False
24,72961,16,10,378,0.449,9,0,1,True,False,False,False
61,68281,8,7,712,0.94,13,0,1,False,False,False,False
25,46798,18,28,845,0.953,2,0,1,True,True,False,False
64,72360,17,29,468,0.239,13,0,1,True,False,True,False
52,52230,13,9,814,0.624,11,0,1,True,True,False,False
31,44943,16,38,613,0.474,8,0,1,True,False,False,True
34,40798,8,27,331,0.876,2,1,0,True,False,False,False
53,45462,11,35,586,0.271,1,0,1,True,True,False,False
67,44177,11,12,342,0.004,10,0,1,True,True,False,False
57,52556,16,31,300,0.163,3,0,1,True,False,False,False
21,52408,18,35,569,0.35,9,0,1,True,False,True,False
19,50045,12,36,479,0.316,12,0,0,False,True,False,False
23,56554,12,25,817,0.791,3,0,1,True,False,False,False
59,67859,13,21,402,0.681,9,1,1,False,False,True,False
21,64243,8,3,309,0.3,7,1,0,True,False,False,True
46,27726,8,30,389,0.458,13,0,1,False,False,False,False
35,11691,16,17,525,0.096,10,1,0,False,True,False,False
43,64014,10,37,425,0.898,1,0,1,True,False,False,True
61,29496,11,23,508,0.935,10,0,1,True,False,True,False
51,46628,8,22,396,0.98,5,0,1,True,False,True,False
27,32448,16,21,373,0.869,9,0,0,True,False,False,False
53,22970,15,1,490,0.174,12,0,0,False,False,False,False
31,58121,9,30,355,0.046,3,0,1,False,False,False,False
48,61387,15,10,331,0.58,9,0,0,False,False,True,False
65,41352,14,27,826,0.913,5,0,1,True,False,False,True
32,11134,18,31,583,0.177,9,0,0,False,False,True,False
25,41806,13,4,793,0.007,10,1,0,False,True,False,False
31,55877,8,37,486,0.805,6,0,1,True,False,True,False
40,27816,14,9,797,0.077,9,0,1,True,True,False,False
57,52750,17,39,741,0.414,7,0,1,False,False,False,True
38,49770,14,23,429,0.679,7,0,1,True,False,False,False
33,58689,20,34,591,0.237,8,0,1,False,False,False,False
62,51793,21,22,413,0.084,7,0,1,True,False,True,False
35,35403,16,16,498,0.77,12,0,0,False,False,False,False
64,67948,8,0,312,0.63,9,0,1,True,False,False,True
41,47622,9,30,570,0.988,11,0,1,True,False,False,False
43,49590,18,30,514,0.344,9,0,1,True,False,True,False
42,36000,16,33,743,0.062,6,0,1,False,False,False,True
62,43350,20,8,811,0.734,7,0,1,False,True,False,False
58,36727,16,21,746,0.522,2,1,1,True,False,True,False
46,47405,20,12,373,0.213,9,0,1,True,True,False,False
32,75675,13,24,836,0.782,12,0,1,False,False,False,True
62,29421,13,17,400,0.204,13,0,1,True,False,True,False
18,25796,11,11,475,0.261,1,0,1,False,False,True,False
42,72067,11,39,726,0.093,1,1,1,True,False,False,True
24,46860,12,16,416,0.399,3,0,1,True,False,False,False
26,39963,10,14,465,0.419,12,0,0,True,False,True,False
41,65598,8,14,340,0.515,6,0,1,True,False,True,False
18,40915,8,14,728,0.709,5,0,1,False,True,False,False
61,77390,19,38,643,0.906,2,0,1,True,False,False,False
25,60168,20,12,723,0.138,9,0,1,True,True,False,False
41,42681,14,16,665,0.054,14,0,0,False,True,False,False
28,82359,8,31,419,0.019,13,0,1,True,False,False,False
68,40914,8,8,528,0.144,10,0,1,True,False,False,False
34,61131,10,39,429,0.658,14,1,1,False,False,False,True
25,54489,17,19,651,0.727,4,0,1,False,False,False,False
52,69526,11,25,617,0.787,4,0,1,True,False,True,False
52,73422,11,26,636,0.244,5,0,1,False,False,False,False
50,50480,9,20,572,0.306,8,0,1,False,False,False,True
22,38698,8,17,416,0.483,10,0,0,True,False,False,True
59,56899,10,12,667,0.063,4,0,1,True,False,False,True
